"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"A";"A";"LAND- UND FORSTWIRTSCHAFT, FISCHEREI";"Land- und Forstwirtschaft"
2;"A01";"A 01";"Landwirtschaft, Jagd und damit verbundene Tätigkeiten";"Landwirtschaft und Jagd"
3;"A011";"A 01.1";"Anbau ein- und zweijähriger Pflanzen";"Anbau ein- und zweijähriger Pflanzen"
4;"A0111";"A 01.11";"Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten";"Anbau v. Getreide, Hülsenfrüchten"
5;"A01110";"A 01.11-0";"Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten";"Anbau v. Getreide, Hülsenfrüchten"
4;"A0112";"A 01.12";"Anbau von Reis";"Anbau v. Reis"
5;"A01120";"A 01.12-0";"Anbau von Reis";"Anbau v. Reis"
4;"A0113";"A 01.13";"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen";"Anbau v. Gemüse, Melonen"
5;"A01130";"A 01.13-0";"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen";"Anbau v. Gemüse, Melonen"
4;"A0114";"A 01.14";"Anbau von Zuckerrohr";"Anbau v. Zuckerrohr"
5;"A01140";"A 01.14-0";"Anbau von Zuckerrohr";"Anbau v. Zuckerrohr"
4;"A0115";"A 01.15";"Anbau von Tabak";"Anbau v. Tabak"
5;"A01150";"A 01.15-0";"Anbau von Tabak";"Anbau v. Tabak"
4;"A0116";"A 01.16";"Anbau von Faserpflanzen";"Anbau v. Faserpflanzen"
5;"A01160";"A 01.16-0";"Anbau von Faserpflanzen";"Anbau v. Faserpflanzen"
4;"A0119";"A 01.19";"Anbau von sonstigen ein- und zweijährigen Pflanzen";"Anbau sonst. ein- u. zweijähr. Pflanzen"
5;"A01190";"A 01.19-0";"Anbau von sonstigen ein- und zweijährigen Pflanzen";"Anbau sonst. ein- u. zweijähr. Pflanzen"
3;"A012";"A 01.2";"Anbau mehrjähriger Pflanzen";"Anbau mehrjähriger Pflanzen"
4;"A0121";"A 01.21";"Anbau von Wein- und Tafeltrauben";"Anbau v. Wein und Tafeltrauben"
5;"A01210";"A 01.21-0";"Anbau von Wein- und Tafeltrauben";"Anbau v. Wein und Tafeltrauben"
4;"A0122";"A 01.22";"Anbau von tropischen und subtropischen Früchten";"Anbau v. trop. und subtrop. Früchten"
5;"A01220";"A 01.22-0";"Anbau von tropischen und subtropischen Früchten";"Anbau v. trop. und subtrop. Früchten"
4;"A0123";"A 01.23";"Anbau von Zitrusfrüchten";"Anbau v. Zitrusfrüchten"
5;"A01230";"A 01.23-0";"Anbau von Zitrusfrüchten";"Anbau v. Zitrusfrüchten"
4;"A0124";"A 01.24";"Anbau von Kern- und Steinobst";"Anbau v. Kern- und Steinobst"
5;"A01240";"A 01.24-0";"Anbau von Kern- und Steinobst";"Anbau v. Kern- und Steinobst"
4;"A0125";"A 01.25";"Anbau von sonstigem Obst und Nüssen";"Anbau v. sonst. Obst und Nüssen"
5;"A01250";"A 01.25-0";"Anbau von sonstigem Obst und Nüssen";"Anbau v. sonst. Obst und Nüssen"
4;"A0126";"A 01.26";"Anbau von ölhaltigen Früchten";"Anbau v. ölhaltigen Früchten"
5;"A01260";"A 01.26-0";"Anbau von ölhaltigen Früchten";"Anbau v. ölhaltigen Früchten"
4;"A0127";"A 01.27";"Anbau von Pflanzen zur Herstellung von Getränken";"Anbau v. Pflanzen - Getränkeherstellung"
5;"A01270";"A 01.27-0";"Anbau von Pflanzen zur Herstellung von Getränken";"Anbau v. Pflanzen - Getränkeherstellung"
4;"A0128";"A 01.28";"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke";"Anbau v. Gewürzpflanzen"
5;"A01280";"A 01.28-0";"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke";"Anbau v. Gewürzpflanzen"
4;"A0129";"A 01.29";"Anbau sonstiger mehrjähriger Pflanzen";"Anbau sonst. mehrjähriger Pflanzen"
5;"A01290";"A 01.29-0";"Anbau sonstiger mehrjähriger Pflanzen";"Anbau sonst. mehrjähriger Pflanzen"
3;"A013";"A 01.3";"Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken";"Betrieb v. Baumschulen"
4;"A0130";"A 01.30";"Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken";"Betrieb v. Baumschulen"
5;"A01300";"A 01.30-0";"Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken";"Betrieb v. Baumschulen"
3;"A014";"A 01.4";"Tierhaltung";"Tierhaltung"
4;"A0141";"A 01.41";"Haltung von Milchkühen";"Haltung v. Milchkühen"
5;"A01410";"A 01.41-0";"Haltung von Milchkühen";"Haltung v. Milchkühen"
4;"A0142";"A 01.42";"Haltung von sonstigen Rindern";"Haltung v. sonst. Rindern"
5;"A01420";"A 01.42-0";"Haltung von sonstigen Rindern";"Haltung v. sonst. Rindern"
4;"A0143";"A 01.43";"Haltung von Pferden und Eseln";"Haltung v. Pferden und Eseln"
5;"A01430";"A 01.43-0";"Haltung von Pferden und Eseln";"Haltung v. Pferden und Eseln"
4;"A0144";"A 01.44";"Haltung von Kamelen";"Haltung v. Kamelen"
5;"A01440";"A 01.44-0";"Haltung von Kamelen";"Haltung v. Kamelen"
4;"A0145";"A 01.45";"Haltung von Schafen und Ziegen";"Haltung v. Schafen und Ziegen"
5;"A01450";"A 01.45-0";"Haltung von Schafen und Ziegen";"Haltung v. Schafen und Ziegen"
4;"A0146";"A 01.46";"Haltung von Schweinen";"Haltung v. Schweinen"
5;"A01460";"A 01.46-0";"Haltung von Schweinen";"Haltung v. Schweinen"
4;"A0147";"A 01.47";"Haltung von Geflügel";"Haltung v. Geflügel"
5;"A01470";"A 01.47-0";"Haltung von Geflügel";"Haltung v. Geflügel"
4;"A0148";"A 01.48";"Sonstige Tierhaltung";"Sonst. Tierhaltung"
5;"A01480";"A 01.48-0";"Sonstige Tierhaltung";"Sonst. Tierhaltung"
3;"A015";"A 01.5";"Gemischte Landwirtschaft";"Gemischte Landwirtschaft"
4;"A0150";"A 01.50";"Gemischte Landwirtschaft";"Gemischte Landwirtschaft"
5;"A01500";"A 01.50-0";"Gemischte Landwirtschaft";"Gemischte Landwirtschaft"
3;"A016";"A 01.6";"Erbringung von landwirtschaftlichen Dienstleistungen und nach der Ernte anfallende Tätigkeiten";"Landwirtschaftliche Dienstleistungen"
4;"A0161";"A 01.61";"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau";"Dienstleistungen für den Pflanzenbau"
5;"A01610";"A 01.61-0";"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau";"Dienstleistungen für den Pflanzenbau"
4;"A0162";"A 01.62";"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung";"Dienstleistungen für die Tierhaltung"
5;"A01620";"A 01.62-0";"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung";"Dienstleistungen für die Tierhaltung"
4;"A0163";"A 01.63";"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung";"Nach der Ernte anfallende Tätigkeiten"
5;"A01630";"A 01.63-0";"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung";"Nach der Ernte anfallende Tätigkeiten"
3;"A017";"A 01.7";"Jagd, Fallenstellerei und damit verbundene Tätigkeiten";"Jagd und Fallenstellerei"
4;"A0170";"A 01.70";"Jagd, Fallenstellerei und damit verbundene Tätigkeiten";"Jagd und Fallenstellerei"
5;"A01700";"A 01.70-0";"Jagd, Fallenstellerei und damit verbundene Tätigkeiten";"Jagd und Fallenstellerei"
2;"A02";"A 02";"Forstwirtschaft und Holzeinschlag";"Forstwirtschaft und Holzeinschlag"
3;"A021";"A 02.1";"Forstwirtschaft";"Forstwirtschaft"
4;"A0210";"A 02.10";"Forstwirtschaft";"Forstwirtschaft"
5;"A02100";"A 02.10-0";"Forstwirtschaft";"Forstwirtschaft"
3;"A022";"A 02.2";"Holzeinschlag";"Holzeinschlag"
