"Ebene";"EDV-Code";"Code";"Titel";"korrespondierende Ebene";"korrespondierender EDV-Code";"korrespondierender Code";"korrespondierender Titel";"Korrespondenz-Beschreibung"
5;"A01110";"A 01.11-0";"Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten";4;"A0111";"A 01.11";"Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten";""
5;"A01120";"A 01.12-0";"Anbau von Reis";4;"A0112";"A 01.12";"Anbau von Reis";""
5;"A01130";"A 01.13-0";"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen";4;"A0113";"A 01.13";"Anbau von Gemüse und Melonen sowie Wurzeln und Knollen";""
5;"A01140";"A 01.14-0";"Anbau von Zuckerrohr";4;"A0114";"A 01.14";"Anbau von Zuckerrohr";""
5;"A01150";"A 01.15-0";"Anbau von Tabak";4;"A0115";"A 01.15";"Anbau von Tabak";""
5;"A01160";"A 01.16-0";"Anbau von Faserpflanzen";4;"A0116";"A 01.16";"Anbau von Faserpflanzen";""
5;"A01190";"A 01.19-0";"Anbau von sonstigen ein- und zweijährigen Pflanzen";4;"A0119";"A 01.19";"Anbau von sonstigen ein- und zweijährigen Pflanzen";""
5;"A01210";"A 01.21-0";"Anbau von Wein- und Tafeltrauben";4;"A0121";"A 01.21";"Anbau von Wein- und Tafeltrauben";""
5;"A01220";"A 01.22-0";"Anbau von tropischen und subtropischen Früchten";4;"A0122";"A 01.22";"Anbau von tropischen und subtropischen Früchten";""
5;"A01230";"A 01.23-0";"Anbau von Zitrusfrüchten";4;"A0123";"A 01.23";"Anbau von Zitrusfrüchten";""
5;"A01240";"A 01.24-0";"Anbau von Kern- und Steinobst";4;"A0124";"A 01.24";"Anbau von Kern- und Steinobst";""
5;"A01250";"A 01.25-0";"Anbau von sonstigem Obst und Nüssen";4;"A0125";"A 01.25";"Anbau von sonstigem Obst und Nüssen";""
5;"A01260";"A 01.26-0";"Anbau von ölhaltigen Früchten";4;"A0126";"A 01.26";"Anbau von ölhaltigen Früchten";""
5;"A01270";"A 01.27-0";"Anbau von Pflanzen zur Herstellung von Getränken";4;"A0127";"A 01.27";"Anbau von Pflanzen zur Herstellung von Getränken";""
5;"A01280";"A 01.28-0";"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke";4;"A0128";"A 01.28";"Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke";""
5;"A01290";"A 01.29-0";"Anbau sonstiger mehrjähriger Pflanzen";4;"A0129";"A 01.29";"Anbau sonstiger mehrjähriger Pflanzen";""
5;"A01300";"A 01.30-0";"Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken";4;"A0130";"A 01.30";"Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken";""
5;"A01410";"A 01.41-0";"Haltung von Milchkühen";4;"A0141";"A 01.41";"Haltung von Milchkühen";""
5;"A01420";"A 01.42-0";"Haltung von sonstigen Rindern";4;"A0142";"A 01.42";"Haltung von sonstigen Rindern";""
5;"A01430";"A 01.43-0";"Haltung von Pferden und Eseln";4;"A0143";"A 01.43";"Haltung von Pferden und Eseln";""
5;"A01440";"A 01.44-0";"Haltung von Kamelen";4;"A0144";"A 01.44";"Haltung von Kamelen";""
5;"A01450";"A 01.45-0";"Haltung von Schafen und Ziegen";4;"A0145";"A 01.45";"Haltung von Schafen und Ziegen";""
5;"A01460";"A 01.46-0";"Haltung von Schweinen";4;"A0146";"A 01.46";"Haltung von Schweinen";""
5;"A01470";"A 01.47-0";"Haltung von Geflügel";4;"A0147";"A 01.47";"Haltung von Geflügel";""
5;"A01480";"A 01.48-0";"Sonstige Tierhaltung";4;"A0148";"A 01.48";"Sonstige Tierhaltung";""
5;"A01500";"A 01.50-0";"Gemischte Landwirtschaft";4;"A0150";"A 01.50";"Gemischte Landwirtschaft";""
5;"A01610";"A 01.61-0";"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau";4;"A0161";"A 01.61";"Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau";""
5;"A01620";"A 01.62-0";"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung";4;"A0162";"A 01.62";"Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung";""
5;"A01630";"A 01.63-0";"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung";4;"A0163";"A 01.63";"Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung und Saatgutaufbereitung";""
5;"A01700";"A 01.70-0";"Jagd, Fallenstellerei und damit verbundene Tätigkeiten";4;"A0170";"A 01.70";"Jagd, Fallenstellerei und damit verbundene Tätigkeiten";""
5;"A02100";"A 02.10-0";"Forstwirtschaft";4;"A0210";"A 02.10";"Forstwirtschaft";""
5;"A02200";"A 02.20-0";"Holzeinschlag";4;"A0220";"A 02.20";"Holzeinschlag";""
5;"A02300";"A 02.30-0";"Sammeln von wildwachsenden Produkten, ohne Holz";4;"A0230";"A 02.30";"Sammeln von wildwachsenden Produkten, ohne Holz";""
5;"A02400";"A 02.40-0";"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag";4;"A0240";"A 02.40";"Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag";""
